"specimen_id","feather_type","source_metadata_row_ids","source_metadata_row_count","source_sheet_rows","museum","species","specimen_id_raw_examples","feather_type_raw_examples","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","sex","notes","geo_region","geo_region_bin","metadata_harmonization_flags","coordinate_row_ids","lon","lat","geo_region_checkpoint","geo_region_bin_checkpoint","coordinate_source","coordinate_collection_date","coordinate_month","coordinate_year","coordinate_specific_collection_location","coordinate_match_found","coordinate_specific_location_matches_metadata","coordinate_collection_date_matches_metadata"
"392-122991","Breast","museum_meta_173",1,"174","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 392-122991 Breast",,"Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_23",175.0286083,-39.9330715,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","27222",7,1974,"Whanganui (Westhaven) Inlet",TRUE,TRUE,TRUE
"392-122991","Primary","museum_meta_196",1,"197","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 392-122991 Primary",,"Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"4787-102226","Breast","museum_meta_155",1,"156","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 4787-102226 Breast",,"Auckland, New Zealand","Sand Island, Kaipara Harbour","Sand Island, Kaipara Harbour, Auckland, New Zealand","31531",4,1986,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"4787-102226","Primary","museum_meta_178",1,"179","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 4787-102226 Primary",,"Auckland, New Zealand","Sand Island, Kaipara Harbour","Sand Island, Kaipara Harbour, Auckland, New Zealand","31531",4,1986,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"4788-102227","Breast","museum_meta_156",1,"157","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 4788-102227 Breast",,"Auckland, New Zealand","Sand Island, Kaipara Harbour","Sand Island, Kaipara Harbour, Auckland, New Zealand","31531",4,1986,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"4788-102227","Primary","museum_meta_179",1,"180","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 4788-102227 Primary",,"Auckland, New Zealand","Sand Island, Kaipara Harbour","Sand Island, Kaipara Harbour, Auckland, New Zealand","31531",4,1986,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"4789-102228","Breast","museum_meta_157",1,"158","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 4789-102228 Breast",,"Auckland, New Zealand","Sand Island, Kaipara Harbour","Sand Island, Kaipara Harbour, Auckland, New Zealand","31531",4,1986,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"4789-102228","Primary","museum_meta_180",1,"181","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 4789-102228 Primary",,"Auckland, New Zealand","Sand Island, Kaipara Harbour","Sand Island, Kaipara Harbour, Auckland, New Zealand","31531",4,1986,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"585-122580","Breast","museum_meta_159",1,"160","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 585-122580 Breast",,"Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_24",147.43,-42.97,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","27236",7,1974,"Ralphs Bay",TRUE,TRUE,TRUE
"585-122580","Primary","museum_meta_182",1,"183","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 585-122580 Primary",,"Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"586-122581","Breast","museum_meta_160",1,"161","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 586-122581 Breast",,"Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_25",147.43,-42.97,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","27236",7,1974,"Ralphs Bay",TRUE,TRUE,TRUE
"586-122581","Primary","museum_meta_183",1,"184","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 586-122581 Primary",,"Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"587-122582","Breast","museum_meta_161",1,"162","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 587-122582 Breast",,"Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_26",147.43,-42.97,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","27236",7,1974,"Ralphs Bay",TRUE,TRUE,TRUE
"587-122582","Primary","museum_meta_184",1,"185","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 587-122582 Primary",,"Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"588-122583","Breast","museum_meta_162",1,"163","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 588-122583 Breast",,"Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_27",147.43,-42.97,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","27236",7,1974,"Ralphs Bay",TRUE,TRUE,TRUE
"588-122583","Primary","museum_meta_185",1,"186","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 588-122583 Primary",,"Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"589-122584","Breast","museum_meta_163",1,"164","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 589-122584 Breast",,"Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_28",147.43,-42.97,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","27236",7,1974,"Ralphs Bay",TRUE,TRUE,TRUE
"589-122584","Primary","museum_meta_186",1,"187","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 589-122584 Primary",,"Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
