candidate_id,candidate_label,caution_level,sensitivity_only,validation_layer,split_id,repeat_id,fold_id,n_assessment,base_log_loss,uncertainty_log_loss,base_bal_accuracy,uncertainty_bal_accuracy,determinate_rate,indeterminate_rate,final_class_changed_rate,any_flip_rate,base_to_indeterminate_rate,boundary_cross_rate,mean_switch_rate,median_switch_rate,mean_abs_top_prob_shift,top_prob_shift_gt_0_05_rate
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat07__Fold5,Repeat07,Fold5,10,0.5515059852405153,0.557286381576216,0.625,0.625,0.6,0.4,0,0.6,0.4,0.4,0.1254,0.017000000000000015,0.011877946205043687,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat08__Fold1,Repeat08,Fold1,12,0.5376645680313382,0.5392770059098064,0.6571428571428571,0.6571428571428571,0.75,0.25,0,0.6666666666666666,0.25,0.25,0.10266666666666666,0.017000000000000015,0.01347910252602962,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat08__Fold2,Repeat08,Fold2,12,0.46540117880137416,0.4670634999446204,0.7,0.7,0.4166666666666667,0.5833333333333334,0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.16883333333333334,0.16999999999999998,0.012184662604384899,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat08__Fold3,Repeat08,Fold3,11,0.4611743263183058,0.46287684050837663,0.75,0.75,0.8181818181818182,0.18181818181818182,0,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.07727272727272726,0,0.006734068460858726,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat08__Fold4,Repeat08,Fold4,11,0.5511085062353422,0.5494466002892262,0.6071428571428572,0.6071428571428572,0.9090909090909091,0.09090909090909091,0,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.04490909090909091,0.006,0.006925557197293294,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat08__Fold5,Repeat08,Fold5,10,0.4901880636731312,0.4998428648074146,1,1,0.8,0.2,0,0.7,0.2,0.2,0.0674,0.03700000000000002,0.007996072763553031,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat09__Fold1,Repeat09,Fold1,12,0.5292053852832125,0.5292362075897568,0.5,0.5,0.9166666666666666,0.08333333333333333,0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.042666666666666665,0,0.001991595509448561,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat09__Fold2,Repeat09,Fold2,12,0.6668018001649144,0.6641956861864454,0.7285714285714285,0.7285714285714285,0.6666666666666666,0.3333333333333333,0,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.15483333333333332,0.032,0.020195147622382774,0.08333333333333333
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat09__Fold3,Repeat09,Fold3,11,0.5422537424152017,0.5441833834151651,0.625,0.625,0.7272727272727273,0.2727272727272727,0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.05999999999999999,0,0.0021365892424267978,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat09__Fold4,Repeat09,Fold4,11,0.5513140508496195,0.5519675604093672,0.7857142857142857,0.7857142857142857,0.6363636363636364,0.36363636363636365,0,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.12127272727272727,0.006,0.018292005571904964,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat09__Fold5,Repeat09,Fold5,10,0.5147440420233818,0.5186516682888044,0.75,0.75,0.9,0.1,0,0.4,0.1,0.1,0.0402,0,0.0020992016054064643,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat10__Fold1,Repeat10,Fold1,12,0.5457519465282659,0.5482931199561353,0.4571428571428572,0.4571428571428572,0.5,0.5,0,0.5833333333333334,0.5,0.5,0.16983333333333334,0.08799999999999997,0.014392281441411442,0
