candidate_id,candidate_label,caution_level,sensitivity_only,validation_layer,split_id,repeat_id,fold_id,ring,coord_group,longitude_capture,latitude_capture,truth,base_prob_migrant,base_class,uncertainty_prob_migrant_mean,uncertainty_prob_migrant_sd,uncertainty_prob_migrant_q10,uncertainty_prob_migrant_q90,uncertainty_class,class_support,prop_migrant_draws,any_draw_class_flip,switch_rate_from_base,top_prob_base,top_prob_mean,top_prob_abs_shift,boundary_crosses,indeterminate,operational_call,final_class_changed
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP19366,"170.144062,-43.736643",170.144062,-43.736643,migrant,0.7644258576456516,migrant,0.7638830329203647,0.021127129745714977,0.7347399996460863,0.7897745302735638,migrant,1,1,FALSE,0,0.7644258576456516,0.7638830329203647,5.428247252868834e-4,FALSE,FALSE,NA,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP19907,"167.746751,-45.414278",167.746751,-45.414278,resident,0.6096750685493951,migrant,0.6077884101242743,0.02668687389573143,0.5729162290568754,0.6397579113380462,migrant,1,1,FALSE,0,0.6096750685493951,0.6077884101242743,0.001886658425120813,FALSE,FALSE,NA,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP9059,"173.662786,-42.413422",173.662786,-42.413422,resident,0.547223968937901,migrant,0.5465345421706049,0.028488202938523804,0.5102757513660626,0.5833871961214547,migrant,0.946,0.946,TRUE,0.05400000000000005,0.547223968937901,0.5477803549822275,5.563860443265067e-4,FALSE,FALSE,NA,FALSE
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16140,"173.667221,-42.413402",173.667221,-42.413402,migrant,0.6893021983999339,migrant,0.6873674150189734,0.06215865547528988,0.6058817786889525,0.7618394126212705,migrant,1,1,FALSE,0,0.6893021983999339,0.6873674150189734,0.0019347833809605364,FALSE,FALSE,NA,FALSE
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16501,"173.031797,-41.120263",173.031797,-41.120263,resident,0.42768603369224467,resident,0.43283309490115734,0.049696088764721126,0.3687020555030289,0.49842966428101054,resident,0.908,0.092,TRUE,0.092,0.5723139663077553,0.5717688101300993,5.451561776560476e-4,FALSE,FALSE,NA,FALSE
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16529,"170.48481,-43.880201",170.48481,-43.880201,migrant,0.8505719009391621,migrant,0.8477310254140817,0.03746596079087484,0.79920478579108,0.8927478424066642,migrant,1,1,FALSE,0,0.8505719009391621,0.8477310254140817,0.0028408755250803885,FALSE,FALSE,NA,FALSE
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16533,"170.143316,-43.733096",170.143316,-43.733096,migrant,0.8058047711400241,migrant,0.8054660622634786,0.045741166147014616,0.7455410040486921,0.8606541106892986,migrant,1,1,FALSE,0,0.8058047711400241,0.8054660622634786,3.3870887654552373e-4,FALSE,FALSE,NA,FALSE
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16609,"173.667221,-42.413402",173.667221,-42.413402,migrant,0.49483055140415805,resident,0.4989710582531709,0.04632414507521124,0.44272638682665155,0.5555418507257448,resident,0.524,0.476,TRUE,0.476,0.505169448595842,0.5361058337620618,0.03093638516621977,TRUE,TRUE,indeterminate,FALSE
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16652,"173.031797,-41.120263",173.031797,-41.120263,resident,0.3825683452405641,resident,0.39535440528273746,0.03520719443275385,0.35513525045657585,0.4440105055075058,resident,0.99,0.01,TRUE,0.01,0.6174316547594358,0.6048968158721797,0.01253483888725615,FALSE,FALSE,NA,FALSE
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16945,"175.702629005536,-39.379794029519",175.702629005536,-39.379794029519,migrant,0.9436739662129732,migrant,0.941756913464991,0.015374560397184088,0.9218819588304202,0.9601164525674563,migrant,1,1,FALSE,0,0.9436739662129732,0.941756913464991,0.0019170527479821509,FALSE,FALSE,NA,FALSE
