validation_layer,ring,truth,base_prob_migrant,uncertainty_prob_migrant_mean,uncertainty_prob_migrant_q10,uncertainty_prob_migrant_q90,class_support,boundary_crosses,indeterminate,operational_call,switch_rate_from_base,top_prob_abs_shift
repeated_stratified_cv,CP19340,migrant,0.8642569655411428,0.8620148554358307,0.8251694687433965,0.895989266149856,1,FALSE,FALSE,NA,0,0.00224211010531216
repeated_stratified_cv,CP19921,resident,0.4561024054827169,0.46106630999591336,0.4165866074780743,0.5082654290538325,0.864,TRUE,TRUE,indeterminate,0.136,6.867964850785224e-4
repeated_stratified_cv,CP19922,resident,0.43339188189782984,0.44225065146039305,0.4072992154608558,0.4862229812290231,0.954,FALSE,FALSE,NA,0.046,0.00727098676562743
repeated_stratified_cv,CP19923,resident,0.4283424864758304,0.4389947727374105,0.4089781310791458,0.4740677087634562,0.97,FALSE,FALSE,NA,0.03,0.00948943628296927
repeated_stratified_cv,CP16409,resident,0.4986757689100174,0.5079526925149257,0.49777509957948823,0.5214726636536285,0.81,TRUE,TRUE,indeterminate,0.81,0.00754257740629438
repeated_stratified_cv,CP16501,resident,0.5261251717430098,0.5273442199081801,0.5080501361912644,0.5478678126108201,0.97,FALSE,FALSE,NA,0.03000000000000002,0.00136241246845991
repeated_stratified_cv,CP16642,migrant,0.5158166304151588,0.5181037719330936,0.5017929135605508,0.5348648671029415,0.948,FALSE,FALSE,NA,0.05200000000000004,0.00241699482093071
repeated_stratified_cv,CP16938,migrant,0.7965549108293729,0.7960921392574011,0.774411094016019,0.8162061034140269,1,FALSE,FALSE,NA,0,4.627715719718317e-4
repeated_stratified_cv,CP16945,migrant,0.7820753405716496,0.7828244908526266,0.7635354569442168,0.804124715194472,1,FALSE,FALSE,NA,0,7.491502809769957e-4
repeated_stratified_cv,CP17010,resident,0.5429898590117873,0.5434127950973324,0.5260415637029209,0.562734851452414,1,FALSE,FALSE,NA,0,4.229360855451114e-4
repeated_stratified_cv,CP19312,migrant,0.7030506333843275,0.7031708720075817,0.6782356913884169,0.7278643660952256,1,FALSE,FALSE,NA,0,1.2023862325416523e-4
repeated_stratified_cv,CP19327,migrant,0.5843840586735243,0.5855411691136885,0.5614096577690714,0.6090217785874501,1,FALSE,FALSE,NA,0,0.00115711044016419
repeated_stratified_cv,CP19346,resident,0.5491255065574523,0.5503779177399325,0.530726745864524,0.5713348193035033,1,FALSE,FALSE,NA,0,0.0012524111824802
repeated_stratified_cv,CP19350,migrant,0.6121898539611736,0.6148492077273873,0.5827299015467587,0.6448281834957311,1,FALSE,FALSE,NA,0,0.00265935376621362
repeated_stratified_cv,CP19368,migrant,0.689714822854242,0.6895383971435778,0.6622327568441299,0.7151638901391724,1,FALSE,FALSE,NA,0,1.7642571066422974e-4
repeated_stratified_cv,CP16140,migrant,0.6527421559578191,0.6504064726158296,0.569769783559501,0.7245106200446664,0.998,FALSE,FALSE,NA,0.002,0.00228782818355488
repeated_stratified_cv,CP16446,migrant,0.5283022137944247,0.5298102205031847,0.47243375308496866,0.5899519420474193,0.738,TRUE,TRUE,indeterminate,0.262,0.01508333568999342
repeated_stratified_cv,CP16461,resident,0.6310827872772797,0.6300414010310764,0.5686633569198126,0.6904605577010068,1,FALSE,FALSE,NA,0,0.00104138624620331
repeated_stratified_cv,CP16507,resident,0.3433269104606069,0.3495252876086262,0.30760095920326724,0.4013642148128704,1,FALSE,FALSE,NA,0,0.0061983771480194
