source_order,ring,model_id,model_label,prediction_available,class,probability,operational_call
16,CP19940,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
16,CP19940,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
16,CP19940,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
16,CP19940,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.4616292928084824,indeterminate
16,CP19940,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.17136806516709838,indeterminate
16,CP19940,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.36700264202441923,indeterminate
16,CP19940,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.3558531872220169,indeterminate
16,CP19940,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.27121909605951766,indeterminate
16,CP19940,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.3729277167184654,indeterminate
17,CP19941,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.6052184480771166,migrant
17,CP19941,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.39478155192288344,migrant
17,CP19941,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
17,CP19941,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
17,CP19941,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
17,CP19941,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.46055695778059974,indeterminate
17,CP19941,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.1546500512884227,indeterminate
17,CP19941,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.3847929909309776,indeterminate
17,CP19941,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.36632930162834193,indeterminate
17,CP19941,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.26885814297586375,indeterminate
17,CP19941,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.3648125553957943,indeterminate
18,CP19984,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.43164048659421245,resident
18,CP19984,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.5683595134057875,resident
18,CP19984,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
18,CP19984,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
18,CP19984,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
18,CP19984,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.2640438818219811,resident
18,CP19984,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.21318758223148793,resident
18,CP19984,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.522768535946531,resident
18,CP19984,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.18696300948946046,resident
18,CP19984,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.1599077536514296,resident
18,CP19984,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.65312923685911,resident
