rung,candidate_id,candidate_label,model_family,caution_level,preferred_default,uses_breast_h,uses_primary_h,uses_paired_distance,validation_layer,split_id,repeat_id,fold_id,n_assessment,n_analysis,fit_status,log_loss,balanced_accuracy,accuracy,brier,selected_lambda,predictors_used
rung2,r2_d_breast_cnh_plus_paired_distance,Rung 2 D: Breast C/N/H + paired distance,ridge_glmnet_multinomial,primary_h_provisional_pending_triplicate_check,FALSE,TRUE,TRUE,TRUE,repeated_stratified_cv,Repeat02__Fold4,Repeat02,Fold4,10,46,ok,1.0955296031902708,0.3611111111111111,0.4,0.22118400685064235,0.641358998536705,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|paired_distance_cnh
rung2,r2_a_breast_cn,Rung 2 A: Breast-only C/N,ridge_glmnet_multinomial,baseline_cn_benchmark,TRUE,FALSE,FALSE,FALSE,repeated_stratified_cv,Repeat02__Fold5,Repeat02,Fold5,10,46,ok,1.0890582955614738,0.33333333333333337,0.4,0.22003780718336483,155.92689572986026,normalised_d13c_Breast|normalised_d15n_Breast
rung2,r2_b_breast_cnh,Rung 2 B: Breast-only C/N/H,ridge_glmnet_multinomial,breast_h_provisional_pending_triplicate_check,TRUE,TRUE,FALSE,FALSE,repeated_stratified_cv,Repeat02__Fold5,Repeat02,Fold5,10,46,ok,1.0890582955614738,0.33333333333333337,0.4,0.22003780718336483,155.92689572986026,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
rung2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,ridge_glmnet_multinomial,primary_h_provisional_pending_triplicate_check,TRUE,TRUE,TRUE,FALSE,repeated_stratified_cv,Repeat02__Fold5,Repeat02,Fold5,10,46,ok,1.0239244136976582,0.33333333333333337,0.4,0.20493579277642382,3.5349505416037137,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h
rung2,r2_d_breast_cnh_plus_paired_distance,Rung 2 D: Breast C/N/H + paired distance,ridge_glmnet_multinomial,primary_h_provisional_pending_triplicate_check,FALSE,TRUE,TRUE,TRUE,repeated_stratified_cv,Repeat02__Fold5,Repeat02,Fold5,10,46,ok,1.0890582955614738,0.33333333333333337,0.4,0.22003780718336483,155.92689572986026,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|paired_distance_cnh
rung2,r2_a_breast_cn,Rung 2 A: Breast-only C/N,ridge_glmnet_multinomial,baseline_cn_benchmark,TRUE,FALSE,FALSE,FALSE,repeated_stratified_cv,Repeat03__Fold1,Repeat03,Fold1,13,43,ok,1.0930723018494566,0.33333333333333337,0.38461538461538464,0.22096490133266766,229.74163981515338,normalised_d13c_Breast|normalised_d15n_Breast
rung2,r2_b_breast_cnh,Rung 2 B: Breast-only C/N/H,ridge_glmnet_multinomial,breast_h_provisional_pending_triplicate_check,TRUE,TRUE,FALSE,FALSE,repeated_stratified_cv,Repeat03__Fold1,Repeat03,Fold1,13,43,ok,1.0930723018494566,0.33333333333333337,0.38461538461538464,0.22096490133266766,229.74163981515338,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
rung2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,ridge_glmnet_multinomial,primary_h_provisional_pending_triplicate_check,TRUE,TRUE,TRUE,FALSE,repeated_stratified_cv,Repeat03__Fold1,Repeat03,Fold1,13,43,ok,1.1305073688965748,0.35000000000000003,0.38461538461538464,0.2299623092587113,0.5301435386256459,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h
rung2,r2_d_breast_cnh_plus_paired_distance,Rung 2 D: Breast C/N/H + paired distance,ridge_glmnet_multinomial,primary_h_provisional_pending_triplicate_check,FALSE,TRUE,TRUE,TRUE,repeated_stratified_cv,Repeat03__Fold1,Repeat03,Fold1,13,43,ok,1.104693181370041,0.33333333333333337,0.38461538461538464,0.22361265128049843,5.560042361168636,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|paired_distance_cnh
rung2,r2_a_breast_cn,Rung 2 A: Breast-only C/N,ridge_glmnet_multinomial,baseline_cn_benchmark,TRUE,FALSE,FALSE,FALSE,repeated_stratified_cv,Repeat03__Fold2,Repeat03,Fold2,13,43,ok,1.092346949216606,0.33333333333333337,0.38461538461538464,0.22082909722854777,25.594125348951806,normalised_d13c_Breast|normalised_d15n_Breast
rung2,r2_b_breast_cnh,Rung 2 B: Breast-only C/N/H,ridge_glmnet_multinomial,breast_h_provisional_pending_triplicate_check,TRUE,TRUE,FALSE,FALSE,repeated_stratified_cv,Repeat03__Fold2,Repeat03,Fold2,13,43,ok,1.0930723018494566,0.33333333333333337,0.38461538461538464,0.2209649013326677,198.1660174768183,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
rung2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,ridge_glmnet_multinomial,primary_h_provisional_pending_triplicate_check,TRUE,TRUE,TRUE,FALSE,repeated_stratified_cv,Repeat03__Fold2,Repeat03,Fold2,13,43,ok,0.880968891695993,0.5833333333333334,0.6153846153846154,0.17885067955436165,0.2175441916546363,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h
