specimen_id,feather_replicate,isotope,n_measurements,value,geo_region,source_measurement_ids,source_branches,source_files,source_sheets,evidence_design
AV705,A,normalised_d15n,1,11.0239900827768,New Zealand,museum_measurement_0043,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV705,B,normalised_d15n,1,12.4784976206662,New Zealand,museum_measurement_0045,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV705,E,normalised_d15n,1,10.8265997520694,New Zealand,museum_measurement_0047,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV706,A,normalised_d15n,1,8.86565641620346,New Zealand,museum_measurement_0007,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV706,G,normalised_d15n,1,9.65422081817091,New Zealand,museum_measurement_0009,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV706,I,normalised_d15n,1,8.50277722237773,New Zealand,museum_measurement_0011,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21986,B,normalised_d2h,1,-3.08431812672696,New Zealand,museum_measurement_0055,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV21986,D,normalised_d2h,1,0.183912810675667,New Zealand,museum_measurement_0056,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV21986,E,normalised_d2h,1,4.05669880737923,New Zealand,museum_measurement_0057,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV21987,F,normalised_d2h,1,-8.25799243530993,New Zealand,museum_measurement_0058,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV21987,H,normalised_d2h,1,-7.93260522491936,New Zealand,museum_measurement_0059,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV2421,A,normalised_d2h,1,-19.9952829358012,New Zealand,museum_measurement_0061,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV2421,B,normalised_d2h,1,-16.8703083767061,New Zealand,museum_measurement_0060,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV2421,E,normalised_d2h,1,-22.1478477921735,New Zealand,museum_measurement_0062,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV705,A,normalised_d2h,1,4.70056229400749,New Zealand,museum_measurement_0063,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV705,C,normalised_d2h,1,-2.84742098790851,New Zealand,museum_measurement_0064,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV706,E,normalised_d2h,1,-74.8204088793002,New Zealand,museum_measurement_0066,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV706,F,normalised_d2h,1,-66.2327248293228,New Zealand,museum_measurement_0067,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
AV706,H,normalised_d2h,1,-73.6345542707527,New Zealand,museum_measurement_0068,museum_triplicate_h,data/Master_TCEA_H_SI_Batch 1_triplicate breast feathers_LEH_Nov25_SB.xls,Sample results_H,distinct_breast_feathers_same_bird
