ring,rung1_class,status,abs_delta_d13c,abs_delta_d15n,normalised_d13c_Breast,normalised_d13c_Primary,normalised_d15n_Breast,normalised_d15n_Primary
CP19361,resident,resident,4.70319036013115,1.035510410377,-13.9185362373694,-18.6217265975006,13.103579897515,12.068069487138
CP19365,migrant,AU migrant,0.515467673994461,7.34254354835078,-23.3101243339637,-22.7946566599693,11.322927655372,3.98038410702127
CP19366,migrant,AU migrant,10.3618603002009,8.03008210838307,-13.6699580427845,-24.0318183429855,10.7163868306164,2.68630472223335
CP19368,migrant,AU migrant,0.210619421711499,8.09143695958509,-23.9349596678529,-23.7243402461414,11.5187906958187,3.42735373623361
CP19371,resident,resident,5.87172083678052,1.88719910281572,-12.4035084505378,-18.2752292873183,13.4932655104738,11.6060664076581
CP19907,resident,resident,1.96078988199713,2.67945397070318,-22.1134454329775,-24.0742353149746,11.3039454995212,8.62449152881804
CP19908,resident,resident,2.51246114290634,2.08794298061695,-17.4723366032384,-19.9847977461447,10.1721944967357,8.08425151611874
CP19915,migrant,SI migrant,3.65685286128259,4.63470452430339,-26.9150664294187,-23.2582135681362,11.5217746568784,6.887070132575
CP19921,resident,resident,1.59952669039146,1.13191589530801,-23.3146109134045,-21.715084223013,8.23046560804341,7.0985497127354
CP19922,resident,resident,0.066900355871887,0.638567666773061,-24.0930877817319,-24.02618742586,5.26440831471433,5.90297598148739
CP19923,resident,resident,1.33333317588775,0.550747558625456,-24.2471613285884,-22.9138281527006,7.4476731567188,7.99842071534426
CP19931,migrant,NI migrant,9.47022874904734,4.35566339117828,-13.1476905276339,-22.6179192766812,14.4329986737513,10.077335282573
CP19983,resident,resident,5.62832821179529,3.78538190411343,-19.0124766576055,-24.6408048694008,12.5227059718829,8.73732406776946
CP9059,resident,resident,3.5198249707976,2.26931987450378,-18.0455411184568,-14.5257161476591,12.5936658463559,14.8629857208597
