validation_layer,split_id,n_assessment,n_sites_assessment,assessment_sites,candidate_id,candidate_label,model_type,candidate_group,caution_level,fit_status,n_analysis,log_loss,balanced_accuracy,accuracy,brier,selected_lambda,ece,calibration_intercept,calibration_slope,mean_top_prob,weak_support_rate,indeterminate_rate,au_sensitivity,au_specificity,au_ppv,au_npv,predictors_used,fit_message
leave_one_site_out_cv,Site__Tiwai.Point,7,1,Tiwai Point,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,43,0.45028937070593067,1,1,0.13199719102345972,NA,0.36156348550163153,-23.998376291907,-1.3055538148267649e-14,0.6384365144983685,0,1,NA,1,NA,1,collapsed_3class_probabilities_to_binary,NA
blocked_site_cv,Fold1,19,2,Motueka Spit|Tasman River,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,ok,31,0.9928953875708886,0.5,0.42105263157894735,0.3769182618445455,NA,0.3984238991876164,1.8582152059883672,8.697806420878223,0.8194765307665638,0,0.3684210526315789,0,1,NA,0.42105263157894735,collapsed_3class_probabilities_to_binary,NA
blocked_site_cv,Fold2,10,1,Kaitorete,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,ok,40,0.5837301106503653,0.5,0.7,0.19976836492748448,NA,0.08532715494489199,0.2307907721265061,2.7167644864359293,0.7454863723136229,0,0.9,0,1,NA,0.7,collapsed_3class_probabilities_to_binary,NA
blocked_site_cv,Fold3,9,3,Cass River|Pisa Range|Tiwai Point,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,ok,41,0.5155848694591711,0.5,0.7777777777777778,0.16760440736455634,NA,0.20837011521880855,-0.4036082376017944,3.319426031619422,0.7014293314473781,0,1,0,1,NA,0.7777777777777778,collapsed_3class_probabilities_to_binary,NA
blocked_site_cv,Fold4,12,3,Kaikoura|Porters Beach|Te Anau,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,ok,38,0.5068830199941967,0.5,0.9166666666666666,0.1593144444273184,NA,0.2877856037072938,-1.7758547602924657,-8487.370176668139,0.6542635947407353,0,1,0,1,NA,0.9166666666666666,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Cass.River,1,1,Cass River,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,ok,49,2.3957724676732624,0,0,0.8260950687475843,NA,0.9088977218299011,24.866318315514782,NA,0.9088977218299011,0,0,0,NA,NA,0,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Kaikoura,6,1,Kaikoura,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,ok,44,0.43183666416632005,1,1,0.12447832067012374,NA,0.34809975730647524,-23.941011634885953,-1.144067210246514e-14,0.6519002426935246,0,1,NA,1,NA,1,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Kaitorete,10,1,Kaitorete,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,ok,40,0.5921783216100712,0.5,0.7,0.20095107281043528,NA,0.07267299520694102,0.4056771878861138,0.9460532637931842,0.772672995206941,0,0.5,0,1,NA,0.7,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Motueka.Spit,6,1,Motueka Spit,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,ok,44,0.2279660689440368,1,1,0.04176890145332447,NA,0.20366591352452584,-23.20131830064017,1.4825077216072693e-15,0.7963340864754742,0,0.6666666666666666,NA,1,NA,1,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Pisa.Range,1,1,Pisa Range,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,ok,49,1.2313368719698257,0,0,0.5014026628822774,NA,0.7080979189930425,23.452232536814968,NA,0.7080979189930425,0,1,0,NA,NA,0,collapsed_3class_probabilities_to_binary,NA
