source_order,ring,model_id,model_label,prediction_available,class,probability,operational_call,longitude_capture,latitude_capture,informal_rung2_consensus,model_short
9,CP16962,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.2427479331765804,resident,176.893405001611,-39.485479015857,single-model lead: resident,R2 S2
9,CP16962,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.5105596911643818,resident,176.893405001611,-39.485479015857,single-model lead: resident,R2 S2
10,CP19307,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5488254432028696,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R1 C
10,CP19307,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.4511745567971304,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R1 C
10,CP19307,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 A
10,CP19307,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 A
10,CP19307,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 A
10,CP19307,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.32371359731699934,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 C
10,CP19307,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.2049565301433709,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 C
10,CP19307,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.47132987253962977,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 C
10,CP19307,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.30048544943018096,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 S2
10,CP19307,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.23710679718329652,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 S2
10,CP19307,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.4624077533865225,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 S2
11,CP19308,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.7192803740957368,migrant,170.477445,-43.873901,no determinate Rung 2 call,R1 C
11,CP19308,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.28071962590426325,migrant,170.477445,-43.873901,no determinate Rung 2 call,R1 C
11,CP19308,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 A
11,CP19308,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 A
11,CP19308,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 A
11,CP19308,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.2646097232612408,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 C
11,CP19308,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.4652880471809595,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 C
11,CP19308,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.2701022295577996,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 C
11,CP19308,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.30941803569004117,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 S2
11,CP19308,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.43512138392853983,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 S2
11,CP19308,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.255460580381419,indeterminate,170.477445,-43.873901,no determinate Rung 2 call,R2 S2
12,CP19902,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5100001508945238,indeterminate,170.478219,-43.873307,single-model lead: resident,R1 C
12,CP19902,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.4899998491054762,indeterminate,170.478219,-43.873307,single-model lead: resident,R1 C
12,CP19902,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,170.478219,-43.873307,single-model lead: resident,R2 A
12,CP19902,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,170.478219,-43.873307,single-model lead: resident,R2 A
12,CP19902,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,170.478219,-43.873307,single-model lead: resident,R2 A
12,CP19902,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.39971718211132345,indeterminate,170.478219,-43.873307,single-model lead: resident,R2 C
12,CP19902,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.15391602266827212,indeterminate,170.478219,-43.873307,single-model lead: resident,R2 C
12,CP19902,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.44636679522040446,indeterminate,170.478219,-43.873307,single-model lead: resident,R2 C
12,CP19902,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.26099447798994235,resident,170.478219,-43.873307,single-model lead: resident,R2 S2
12,CP19902,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.2264110134472231,resident,170.478219,-43.873307,single-model lead: resident,R2 S2
12,CP19902,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.5125945085628346,resident,170.478219,-43.873307,single-model lead: resident,R2 S2
13,CP19903,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5463078573083093,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R1 C
13,CP19903,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.4536921426916906,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R1 C
13,CP19903,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R2 A
13,CP19903,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R2 A
13,CP19903,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R2 A
13,CP19903,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.24136144646970437,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R2 C
13,CP19903,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.30482708554376753,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R2 C
13,CP19903,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.4538114679865281,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R2 C
13,CP19903,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.2577351356471623,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R2 S2
13,CP19903,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.28059760920078347,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R2 S2
13,CP19903,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.46166725515205426,indeterminate,170.478219,-43.873307,no determinate Rung 2 call,R2 S2
14,CP19938,r1_c,Rung 1: R1 C paired-contrast C/N,FALSE,migrant,NA,NA,169.187014997005,-44.8751709982753,no determinate Rung 2 call,R1 C
14,CP19938,r1_c,Rung 1: R1 C paired-contrast C/N,FALSE,resident,NA,NA,169.187014997005,-44.8751709982753,no determinate Rung 2 call,R1 C
14,CP19938,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,169.187014997005,-44.8751709982753,no determinate Rung 2 call,R2 A
