comparison_subset_id,extension_target,ring,sampling_site_label,sampling_location_specific,sampling_location_general,longitude_capture,latitude_capture,status,status_bin,status_rung2_3class,status_au_non_au,sex,tag_id_adjusted,migratory_status_comment,normalised_d13c_Breast,normalised_d15n_Breast,normalised_d2h_Breast,source_phenotype_row_ids,source_measurement_ids_Breast,source_measurement_ids_model_Breast
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP17010,Tiwai Point,"Tiwai Point, Canterbury","South Island, New Zealand",168.425144,-46.604315,resident,resident,resident,non_AU,M,266397,PTT revealed that the bird remained at the Awarua Bay / Tiwai Point the full year,-20.7990391206713,8.32593463371651,-10.8621226749196,live_pheno_080|live_pheno_102,live_measurement_0181|live_measurement_0182|live_measurement_0401,live_measurement_0181|live_measurement_0182|live_measurement_0401
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP17011,Tiwai Point,"Tiwai Point, Canterbury","South Island, New Zealand",168.425144,-46.604315,SI migrant,migrant,NZ migrant,non_AU,F,266413,"PTT revealed that the bird left the breeding grounds at Tiwai Point in early Dec and went to Toetoe Harbour near the Mataura River Mouth where it stayed until June, when it returned to Tiwai Point / Awarua Bay",-16.8007345467439,13.2755885769215,-13.8562071586242,live_pheno_053|live_pheno_063,live_measurement_0187|live_measurement_0188|live_measurement_0403,live_measurement_0187|live_measurement_0188|live_measurement_0403
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19311,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.146284,-43.725414,SI migrant,migrant,NZ migrant,non_AU,M,266375,"PTT revealed that the bird left the breeding grounds at Tasman Valley and flew to the Hunter River Mouth (Lake Hawea) in mid-Feb and wintered there until early Aug before returning to the Tasman Valley (Glentanner to stage for a couple weeks, then to breeding site)",-22.5401886120996,8.16879707947654,-67.5925063450784,live_pheno_054|live_pheno_064,live_measurement_0199|live_measurement_0200|live_measurement_0409,live_measurement_0199|live_measurement_0200|live_measurement_0409
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19312,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.145122,-43.729755,AU migrant,migrant,AU migrant,AU,F,266441,"PTT revealed this bird migrating to west of Lake Martin, inland Victoria (arrival: July 2) BUT left Tasman Valley breeding grounds in early Dec to stay at Awarua Bay until mid May when it flew to AU",-20.1365264153173,15.7489177714583,-5.76406501795435,live_pheno_012|live_pheno_029,live_measurement_0205|live_measurement_0206|live_measurement_0411,live_measurement_0205|live_measurement_0206|live_measurement_0411
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19314,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.144119,-43.736765,AU migrant,migrant,AU migrant,AU,M,266442,"PTT revealed this bird migrating to the Great Musselroe River, Inland NE Tasmania (arrival: April 24)",-20.9353793877792,9.11276685224496,-4.50714443967175,live_pheno_013|live_pheno_030,live_measurement_0209|live_measurement_0210|live_measurement_0413,live_measurement_0209|live_measurement_0210|live_measurement_0413
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19327,Porters Beach,"Porters Beach, Abel Tasman National Park","South Island, New Zealand",173.011575,-40.993306,SI migrant,migrant,NZ migrant,non_AU,M,266421,PTT revealed that the bird left the breeding grounds at Porter's Beach in late February and wintered at the Waimea Inlet until early August,-14.7462971530249,14.2859172518353,-10.4885647577129,live_pheno_055|live_pheno_065,live_measurement_0213|live_measurement_0214|live_measurement_0415,live_measurement_0213|live_measurement_0214|live_measurement_0415
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19340,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.14463,-43.734073,AU migrant,migrant,AU migrant,AU,M,266393,"PTT revealed this bird migrating to coastal Victoria near Lake Wellington (arrival: late March), but PTT stopped transmitting right before arrival",-23.1370222195958,12.2141638963432,3.25806710111963,live_pheno_014|live_pheno_031,live_measurement_0217|live_measurement_0218|live_measurement_0417,live_measurement_0217|live_measurement_0218|live_measurement_0417
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19346,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.431853,-43.845691,resident,resident,resident,non_AU,M,266459,PTT revealed that the bird remained at Lake Ellesmere / Kaitorete Spit the full year,-23.6106784068077,11.4762590619618,-11.4546469831619,live_pheno_081|live_pheno_103,live_measurement_0221|live_measurement_0222|live_measurement_0419,live_measurement_0221|live_measurement_0222|live_measurement_0419
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19350,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.591216,-43.832075,SI migrant,migrant,NZ migrant,non_AU,F,266387,"PTT revealed that the bird left the breeding grounds at Birdlings Flat in early May and went to the agricultural fields near the Rakaia River where it stayed until late July, when it returned to Birdling's Flat",-22.9932864768683,10.2356874401532,-14.5679577035717,live_pheno_056|live_pheno_066,live_measurement_0225|live_measurement_0226|live_measurement_0421,live_measurement_0225|live_measurement_0226|live_measurement_0421
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19360,Motueka Spit,"Motueka Spit, Tasman Bay","South Island, New Zealand",173.030661,-41.11765,SI migrant,migrant,NZ migrant,non_AU,F,266403,"PTT revealed that the bird left the breeding grounds at Porter's Beach shortly after deployment, when it jumped between to the Wainui Inlet and Motueka Spit and the Motueka River Mouth",-15.6494167356104,9.64897104177514,-27.747857656815,live_pheno_057|live_pheno_067,live_measurement_0231|live_measurement_0232|live_measurement_0423,live_measurement_0231|live_measurement_0232|live_measurement_0423
